PUBCHEM_SID,hERG inhibition (%) at 1uM,hERG inhibition (%) at 10uM,SMILES_unique_largest_fragment,SMILES_Original
85146922,4.9565,-3.69792,CCCCN1CC(=O)N2[C@@H]3[C@H](COc4ccc(OC)cc34)[C@H](C(=O)OCC)[C@]2(C)C1=O,CCCCN1CC(=O)N2[C@@H]3[C@H](COC4=C3C=C(OC)C=C4)[C@H](C(=O)OCC)[C@]2(C)C1=O
85146920,8.8041,-28.89872,CCOC(=O)[C@H]1[C@H]2COc3ccc(OC)cc3[C@@H]2N2C(=O)CN(Cc3ccc(OC)cc3)C(=O)[C@@]12C,CCOC(=O)[C@H]1[C@H]2COC3=C(C=C(OC)C=C3)[C@@H]2N2C(=O)CN(CC3=CC=C(OC)C=C3)C(=O)[C@@]12C
85146919,12.8651,-12.21452,CCOC(=O)[C@H]1[C@H]2COc3ccc(OC)cc3[C@@H]2N2C(=O)CN(Cc3ccc(Cl)cc3)C(=O)[C@@]12C,CCOC(=O)[C@H]1[C@H]2COC3=C(C=C(OC)C=C3)[C@@H]2N2C(=O)CN(CC3=CC=C(Cl)C=C3)C(=O)[C@@]12C
85146918,11.2333,-26.45612,CCOC(=O)[C@H]1[C@H]2COc3ccc(OC)cc3[C@@H]2N2C(=O)CN(Cc3ccc(F)cc3)C(=O)[C@@]12C,CCOC(=O)[C@H]1[C@H]2COC3=C(C=C(OC)C=C3)[C@@H]2N2C(=O)CN(CC3=CC=C(F)C=C3)C(=O)[C@@]12C
85146917,6.7851,-19.30282,CCOC(=O)[C@H]1[C@H]2COc3ccc(OC)cc3[C@@H]2N2C(=O)CN(Cc3ccc(C)cc3)C(=O)[C@@]12C,CCOC(=O)[C@H]1[C@H]2COC3=C(C=C(OC)C=C3)[C@@H]2N2C(=O)CN(CC3=CC=C(C)C=C3)C(=O)[C@@]12C
85146916,12.6967,-1.64152,CCOC(=O)[C@H]1[C@H]2COc3cc(OC)ccc3[C@@H]2N2C(=O)CN(CCc3c[nH]c4ccccc34)C(=O)[C@@]12C,CCOC(=O)[C@H]1[C@H]2COC3=C(C=CC(OC)=C3)[C@@H]2N2C(=O)CN(CCC3=CNC4=CC=CC=C34)C(=O)[C@@]12C
85146915,12.5333,13.76858,CCOC(=O)[C@H]1[C@H]2COc3cc(OC)ccc3[C@@H]2N2C(=O)CN(CC3CCCO3)C(=O)[C@@]12C,CCOC(=O)[C@H]1[C@H]2COC3=C(C=CC(OC)=C3)[C@@H]2N2C(=O)CN(CC3CCCO3)C(=O)[C@@]12C
85146914,15.1392,0.846780000000003,CCOC(=O)[C@H]1[C@H]2COc3cc(OC)ccc3[C@@H]2N2C(=O)CN(Cc3ccco3)C(=O)[C@@]12C,CCOC(=O)[C@H]1[C@H]2COC3=C(C=CC(OC)=C3)[C@@H]2N2C(=O)CN(CC3=CC=CO3)C(=O)[C@@]12C
85146912,16.8383,7.38548,CCCCN1CC(=O)N2[C@@H]3[C@H](COc4cc(OC)ccc34)[C@H](C(=O)OCC)[C@]2(C)C1=O,CCCCN1CC(=O)N2[C@@H]3[C@H](COC4=C3C=CC(OC)=C4)[C@H](C(=O)OCC)[C@]2(C)C1=O
85146911,19.61652,-8.34432,CCOC(=O)[C@H]1[C@H]2COc3cc(OC)ccc3[C@@H]2N2C(=O)CN(Cc3ccccc3)C(=O)[C@@]12C,CCOC(=O)[C@H]1[C@H]2COC3=C(C=CC(OC)=C3)[C@@H]2N2C(=O)CN(CC3=CC=CC=C3)C(=O)[C@@]12C
85146910,17.5405,-1.96442,CCOC(=O)[C@H]1[C@H]2COc3cc(OC)ccc3[C@@H]2N2C(=O)CN(Cc3ccc(OC)cc3)C(=O)[C@@]12C,CCOC(=O)[C@H]1[C@H]2COC3=C(C=CC(OC)=C3)[C@@H]2N2C(=O)CN(CC3=CC=C(OC)C=C3)C(=O)[C@@]12C
85146908,7.5386,-19.82512,CCOC(=O)[C@H]1[C@H]2COc3cc(OC)ccc3[C@@H]2N2C(=O)CN(Cc3ccc(C)cc3)C(=O)[C@@]12C,CCOC(=O)[C@H]1[C@H]2COC3=C(C=CC(OC)=C3)[C@@H]2N2C(=O)CN(CC3=CC=C(C)C=C3)C(=O)[C@@]12C
85146899,9.34629999999999,4.01618,C[C@H]1NC(=O)[C@@]2(C)[C@H]([C@H]3COc4ccccc4[C@H]3N2C1=O)c1ccccc1,C[C@H]1NC(=O)[C@@]2(C)[C@H]([C@H]3COC4=CC=CC=C4[C@H]3N2C1=O)C1=CC=CC=C1
85146898,9.5326,-9.02622,C[C@@H]1NC(=O)[C@@]2(C)[C@H]([C@H]3COc4ccccc4[C@@H]3N2C1=O)c1ccccc1,C[C@@H]1NC(=O)[C@@]2(C)[C@H]([C@H]3COC4=CC=CC=C4[C@@H]3N2C1=O)C1=CC=CC=C1
85146897,17.5724,22.37398,CCOC(=O)[C@H]1[C@H]2COc3ccccc3[C@@H]2N2C(=O)CNC(=O)[C@@]12C,CCOC(=O)[C@H]1[C@H]2COC3=CC=CC=C3[C@@H]2N2C(=O)CNC(=O)[C@@]12C
85146896,16.2237,7.83688,CN(C1CCCC1)C(=O)c1ccc(NC(=O)Cc2cccc(NC(=O)C3CCN(CC3)C(=O)CCc3ccccc3)c2)cc1,CN(C1CCCC1)C(=O)C1=CC=C(NC(=O)CC2=CC(NC(=O)C3CCN(CC3)C(=O)CCC3=CC=CC=C3)=CC=C2)C=C1
85146895,13.6654,5.46268,CN(C1CCCC1)C(=O)c1ccc(NC(=O)Cc2cccc(NC(=O)C3CCCN(C3)C(=O)CCc3ccccc3)c2)cc1,CN(C1CCCC1)C(=O)C1=CC=C(NC(=O)CC2=CC(NC(=O)C3CCCN(C3)C(=O)CCC3=CC=CC=C3)=CC=C2)C=C1
85146894,10.6263,9.50648,CN(C1CC1)C(=O)c1ccc(NC(=O)Cc2ccc(NC(=O)C3CCN(CC3)C(=O)CCc3ccccc3)cc2)cc1,CN(C1CC1)C(=O)C1=CC=C(NC(=O)CC2=CC=C(NC(=O)C3CCN(CC3)C(=O)CCC3=CC=CC=C3)C=C2)C=C1
85146893,3.77849999999999,2.29948,CN(C1CC1)C(=O)c1ccc(NC(=O)Cc2ccc(NC(=O)C3CCCN(C3)C(=O)CCc3ccccc3)cc2)cc1,CN(C1CC1)C(=O)C1=CC=C(NC(=O)CC2=CC=C(NC(=O)C3CCCN(C3)C(=O)CCC3=CC=CC=C3)C=C2)C=C1
85146891,-4.57860000000001,-39.52512,O=C(Cc1cccc(NC(=O)C2CCCN(C2)C(=O)CCc2ccccc2)c1)Nc1cccc(c1)C(=O)N1CCCC1,O=C(CC1=CC(NC(=O)C2CCCN(C2)C(=O)CCC2=CC=CC=C2)=CC=C1)NC1=CC=CC(=C1)C(=O)N1CCCC1
85146890,8.08239999999999,5.59958,CN(C1CCCC1)C(=O)c1ccc(NC(=O)Cc2cccc(NC(=O)C3CCN(CC3)C(=O)c3ccccc3)c2)cc1,CN(C1CCCC1)C(=O)C1=CC=C(NC(=O)CC2=CC(NC(=O)C3CCN(CC3)C(=O)C3=CC=CC=C3)=CC=C2)C=C1
85146889,14.8745,13.93818,CN(C1CC1)C(=O)c1ccc(NC(=O)Cc2ccc(NC(=O)C3CCN(CC3)C(=O)c3ccccc3)cc2)cc1,CN(C1CC1)C(=O)C1=CC=C(NC(=O)CC2=CC=C(NC(=O)C3CCN(CC3)C(=O)C3=CC=CC=C3)C=C2)C=C1
85146888,20.83676,15.42298,CN(C1CC1)C(=O)c1ccc(NC(=O)Cc2ccc(NC(=O)C3CCCN(C3)C(=O)c3ccccc3)cc2)cc1,CN(C1CC1)C(=O)C1=CC=C(NC(=O)CC2=CC=C(NC(=O)C3CCCN(C3)C(=O)C3=CC=CC=C3)C=C2)C=C1
85146887,13.0347,8.16978,O=C(Cc1cccc(NC(=O)C2CCN(CC2)C(=O)c2ccccc2)c1)Nc1cccc(c1)C(=O)N1CCCC1,O=C(CC1=CC(NC(=O)C2CCN(CC2)C(=O)C2=CC=CC=C2)=CC=C1)NC1=CC=CC(=C1)C(=O)N1CCCC1
85146886,10.2871,4.11498,CN(Cc1ccccc1)C(=O)c1ccc(NC(=O)Cc2cccc(NC(=O)C3CCCN(C3)C(=O)C3CCCCC3)c2)cc1,CN(CC1=CC=CC=C1)C(=O)C1=CC=C(NC(=O)CC2=CC(NC(=O)C3CCCN(C3)C(=O)C3CCCCC3)=CC=C2)C=C1
85146885,6.8159,8.47208,CN(Cc1ccccc1)C(=O)c1ccc(NC(=O)Cc2cccc(NC(=O)C3CCN(CC3)C(=O)C3CCCCC3)c2)cc1,CN(CC1=CC=CC=C1)C(=O)C1=CC=C(NC(=O)CC2=CC(NC(=O)C3CCN(CC3)C(=O)C3CCCCC3)=CC=C2)C=C1
85146884,11.2599,9.92658,CN(C1CCCC1)C(=O)c1ccc(NC(=O)Cc2cccc(NC(=O)C3CCN(CC3)C(=O)C3CCCCC3)c2)cc1,CN(C1CCCC1)C(=O)C1=CC=C(NC(=O)CC2=CC(NC(=O)C3CCN(CC3)C(=O)C3CCCCC3)=CC=C2)C=C1
85146883,11.5387,7.54658,CN(C1CCCC1)C(=O)c1ccc(NC(=O)Cc2cccc(NC(=O)C3CCCN(C3)C(=O)C3CCCCC3)c2)cc1,CN(C1CCCC1)C(=O)C1=CC=C(NC(=O)CC2=CC(NC(=O)C3CCCN(C3)C(=O)C3CCCCC3)=CC=C2)C=C1
85146882,16.9474,8.44678,CN(C1CC1)C(=O)c1ccc(NC(=O)Cc2ccc(NC(=O)C3CCN(CC3)C(=O)C3CCCCC3)cc2)cc1,CN(C1CC1)C(=O)C1=CC=C(NC(=O)CC2=CC=C(NC(=O)C3CCN(CC3)C(=O)C3CCCCC3)C=C2)C=C1
85146881,12.6203,6.23568,CN(C1CC1)C(=O)c1ccc(NC(=O)Cc2ccc(NC(=O)C3CCCN(C3)C(=O)C3CCCCC3)cc2)cc1,CN(C1CC1)C(=O)C1=CC=C(NC(=O)CC2=CC=C(NC(=O)C3CCCN(C3)C(=O)C3CCCCC3)C=C2)C=C1
85146880,5.7957,7.97978,O=C(Cc1cccc(NC(=O)C2CCN(CC2)C(=O)C2CCCCC2)c1)Nc1cccc(c1)C(=O)N1CCCC1,O=C(CC1=CC(NC(=O)C2CCN(CC2)C(=O)C2CCCCC2)=CC=C1)NC1=CC=CC(=C1)C(=O)N1CCCC1
85146879,0.382399999999993,-36.84192,O=C(Cc1cccc(NC(=O)C2CCCN(C2)C(=O)C2CCCCC2)c1)Nc1cccc(c1)C(=O)N1CCCC1,O=C(CC1=CC(NC(=O)C2CCCN(C2)C(=O)C2CCCCC2)=CC=C1)NC1=CC=CC(=C1)C(=O)N1CCCC1
85146878,9.95379999999999,5.82398,CN(Cc1ccccc1)C(=O)c1ccc(NC(=O)Cc2cccc(NC(=O)C3CCCN(C3)C(=O)C3CCCC3)c2)cc1,CN(CC1=CC=CC=C1)C(=O)C1=CC=C(NC(=O)CC2=CC(NC(=O)C3CCCN(C3)C(=O)C3CCCC3)=CC=C2)C=C1
85146877,5.0645,8.22208,CN(Cc1ccccc1)C(=O)c1ccc(NC(=O)Cc2cccc(NC(=O)C3CCN(CC3)C(=O)C3CCCC3)c2)cc1,CN(CC1=CC=CC=C1)C(=O)C1=CC=C(NC(=O)CC2=CC(NC(=O)C3CCN(CC3)C(=O)C3CCCC3)=CC=C2)C=C1
85146876,6.2995,4.38158,CN(C1CCCC1)C(=O)c1ccc(NC(=O)Cc2cccc(NC(=O)C3CCN(CC3)C(=O)C3CCCC3)c2)cc1,CN(C1CCCC1)C(=O)C1=CC=C(NC(=O)CC2=CC(NC(=O)C3CCN(CC3)C(=O)C3CCCC3)=CC=C2)C=C1
85146875,9.2123,6.86338,CN(C1CCCC1)C(=O)c1ccc(NC(=O)Cc2cccc(NC(=O)C3CCCN(C3)C(=O)C3CCCC3)c2)cc1,CN(C1CCCC1)C(=O)C1=CC=C(NC(=O)CC2=CC(NC(=O)C3CCCN(C3)C(=O)C3CCCC3)=CC=C2)C=C1
85146874,20.80828,22.79578,CN(C1CC1)C(=O)c1ccc(NC(=O)Cc2ccc(NC(=O)C3CCN(CC3)C(=O)C3CCCC3)cc2)cc1,CN(C1CC1)C(=O)C1=CC=C(NC(=O)CC2=CC=C(NC(=O)C3CCN(CC3)C(=O)C3CCCC3)C=C2)C=C1
85146873,13.2742,14.01288,CN(C1CC1)C(=O)c1ccc(NC(=O)Cc2ccc(NC(=O)C3CCCN(C3)C(=O)C3CCCC3)cc2)cc1,CN(C1CC1)C(=O)C1=CC=C(NC(=O)CC2=CC=C(NC(=O)C3CCCN(C3)C(=O)C3CCCC3)C=C2)C=C1
85146872,14.7271,10.88678,O=C(Cc1cccc(NC(=O)C2CCN(CC2)C(=O)C2CCCC2)c1)Nc1cccc(c1)C(=O)N1CCCC1,O=C(CC1=CC(NC(=O)C2CCN(CC2)C(=O)C2CCCC2)=CC=C1)NC1=CC=CC(=C1)C(=O)N1CCCC1
85146871,9.8786,1.50918,CN(Cc1ccccc1)C(=O)c1ccc(NC(=O)Cc2cccc(NC(=O)C3CCCN(C3)C(=O)C3CCC3)c2)cc1,CN(CC1=CC=CC=C1)C(=O)C1=CC=C(NC(=O)CC2=CC(NC(=O)C3CCCN(C3)C(=O)C3CCC3)=CC=C2)C=C1
85146870,8.2156,5.07158,CN(Cc1ccccc1)C(=O)c1ccc(NC(=O)Cc2cccc(NC(=O)C3CCN(CC3)C(=O)C3CCC3)c2)cc1,CN(CC1=CC=CC=C1)C(=O)C1=CC=C(NC(=O)CC2=CC(NC(=O)C3CCN(CC3)C(=O)C3CCC3)=CC=C2)C=C1
85146869,13.1665,11.03368,CN(C1CCCC1)C(=O)c1ccc(NC(=O)Cc2cccc(NC(=O)C3CCN(CC3)C(=O)C3CCC3)c2)cc1,CN(C1CCCC1)C(=O)C1=CC=C(NC(=O)CC2=CC(NC(=O)C3CCN(CC3)C(=O)C3CCC3)=CC=C2)C=C1
85146868,0.974699999999995,-8.88652,CN(C1CCCC1)C(=O)c1ccc(NC(=O)Cc2cccc(NC(=O)C3CCCN(C3)C(=O)C3CCC3)c2)cc1,CN(C1CCCC1)C(=O)C1=CC=C(NC(=O)CC2=CC(NC(=O)C3CCCN(C3)C(=O)C3CCC3)=CC=C2)C=C1
85146867,16.9985,17.10438,CN(C1CC1)C(=O)c1ccc(NC(=O)Cc2ccc(NC(=O)C3CCN(CC3)C(=O)C3CCC3)cc2)cc1,CN(C1CC1)C(=O)C1=CC=C(NC(=O)CC2=CC=C(NC(=O)C3CCN(CC3)C(=O)C3CCC3)C=C2)C=C1
85146866,7.35229999999999,7.50448,CN(C1CC1)C(=O)c1ccc(NC(=O)Cc2ccc(NC(=O)C3CCCN(C3)C(=O)C3CCC3)cc2)cc1,CN(C1CC1)C(=O)C1=CC=C(NC(=O)CC2=CC=C(NC(=O)C3CCCN(C3)C(=O)C3CCC3)C=C2)C=C1
85146865,7.35779999999999,1.65978,O=C(Cc1cccc(NC(=O)C2CCN(CC2)C(=O)C2CCC2)c1)Nc1cccc(c1)C(=O)N1CCCC1,O=C(CC1=CC(NC(=O)C2CCN(CC2)C(=O)C2CCC2)=CC=C1)NC1=CC=CC(=C1)C(=O)N1CCCC1
85146864,9.3159,7.73638,O=C(Cc1cccc(NC(=O)C2CCCN(C2)C(=O)C2CCC2)c1)Nc1cccc(c1)C(=O)N1CCCC1,O=C(CC1=CC(NC(=O)C2CCCN(C2)C(=O)C2CCC2)=CC=C1)NC1=CC=CC(=C1)C(=O)N1CCCC1
85146863,5.6256,3.63898,CN(Cc1ccccc1)C(=O)c1ccc(NC(=O)Cc2cccc(NC(=O)C3CCN(CC3)C(=O)C3CC3)c2)cc1,CN(CC1=CC=CC=C1)C(=O)C1=CC=C(NC(=O)CC2=CC(NC(=O)C3CCN(CC3)C(=O)C3CC3)=CC=C2)C=C1
85146862,18.342,10.81858,CN(C1CCCC1)C(=O)c1ccc(NC(=O)Cc2cccc(NC(=O)C3CCN(CC3)C(=O)C3CC3)c2)cc1,CN(C1CCCC1)C(=O)C1=CC=C(NC(=O)CC2=CC(NC(=O)C3CCN(CC3)C(=O)C3CC3)=CC=C2)C=C1
85146861,9.28689999999999,1.51888,CN(C1CCCC1)C(=O)c1ccc(NC(=O)Cc2cccc(NC(=O)C3CCCN(C3)C(=O)C3CC3)c2)cc1,CN(C1CCCC1)C(=O)C1=CC=C(NC(=O)CC2=CC(NC(=O)C3CCCN(C3)C(=O)C3CC3)=CC=C2)C=C1
85146860,14.9843,-7.85232,CN(C1CC1)C(=O)c1ccc(NC(=O)Cc2ccc(NC(=O)C3CCN(CC3)C(=O)C3CC3)cc2)cc1,CN(C1CC1)C(=O)C1=CC=C(NC(=O)CC2=CC=C(NC(=O)C3CCN(CC3)C(=O)C3CC3)C=C2)C=C1
85146859,8.70909999999999,-4.40642,CN(C1CC1)C(=O)c1ccc(NC(=O)Cc2ccc(NC(=O)C3CCCN(C3)C(=O)C3CC3)cc2)cc1,CN(C1CC1)C(=O)C1=CC=C(NC(=O)CC2=CC=C(NC(=O)C3CCCN(C3)C(=O)C3CC3)C=C2)C=C1
85146858,9.9656,-1.92242,O=C(Cc1cccc(NC(=O)C2CCN(CC2)C(=O)C2CC2)c1)Nc1cccc(c1)C(=O)N1CCCC1,O=C(CC1=CC(NC(=O)C2CCN(CC2)C(=O)C2CC2)=CC=C1)NC1=CC=CC(=C1)C(=O)N1CCCC1
85146857,15.6859,7.83268,O=C(Cc1cccc(NC(=O)C2CCCN(C2)C(=O)C2CC2)c1)Nc1cccc(c1)C(=O)N1CCCC1,O=C(CC1=CC(NC(=O)C2CCCN(C2)C(=O)C2CC2)=CC=C1)NC1=CC=CC(=C1)C(=O)N1CCCC1
85146856,4.305,-9.08192,CC(C)(C)OC(=O)N1CCN(CC1)C(=O)c1[nH]cnc1C(=O)Nc1nccs1,CC(C)(C)OC(=O)N1CCN(CC1)C(=O)C1=C(N=CN1)C(=O)NC1=NC=CS1
85146855,7.24879999999999,-3.99692,CN(Cc1ccccc1)C(=O)c1[nH]cnc1C(=O)Nc1nccs1,CN(CC1=CC=CC=C1)C(=O)C1=C(N=CN1)C(=O)NC1=NC=CS1
85146839,16.4985,22.90458,CCOC(=O)c1ccc(NC(=O)c2nc[nH]c2C(=O)NCCCCNC(=O)c2[nH]cnc2C(=O)Nc2ccc(cc2)C(=O)OCC)cc1,CCOC(=O)C1=CC=C(NC(=O)C2=C(NC=N2)C(=O)NCCCCNC(=O)C2=C(N=CN2)C(=O)NC2=CC=C(C=C2)C(=O)OCC)C=C1
85146838,13.8077,14.14558,CCOC(=O)c1ccc(NC(=O)c2nc[nH]c2C(=O)NCCCNC(=O)c2[nH]cnc2C(=O)Nc2ccc(cc2)C(=O)OCC)cc1,CCOC(=O)C1=CC=C(NC(=O)C2=C(NC=N2)C(=O)NCCCNC(=O)C2=C(N=CN2)C(=O)NC2=CC=C(C=C2)C(=O)OCC)C=C1
85146821,9.7508,2.89068,NC(=O)c1nc[nH]c1C(=O)Nc1cccc(c1)C(F)(F)F,NC(=O)C1=C(NC=N1)C(=O)NC1=CC=CC(=C1)C(F)(F)F
85146819,10.4721,-1.06722,Cc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1NC(=O)c1[nH]cnc1C(N)=O,CC1=C(NC(=O)C2=C(N=CN2)C(N)=O)C=C(NC(=O)C2=CC(=CC=C2)C(F)(F)F)C=C1
85146816,17.2428,6.20338,CC(C)(C)OC(=O)N1CCN(CC1)C(=O)c1ncn(Cc2ccccc2)c1C(=O)N1CCN(CC1)C(=O)OC(C)(C)C,CC(C)(C)OC(=O)N1CCN(CC1)C(=O)C1=C(N(CC2=CC=CC=C2)C=N1)C(=O)N1CCN(CC1)C(=O)OC(C)(C)C
85146815,5.52839999999999,-38.89102,CN(Cc1ccccc1)C(=O)c1ncn(Cc2ccccc2)c1C(=O)N(C)Cc1ccccc1,CN(CC1=CC=CC=C1)C(=O)C1=C(N(CC2=CC=CC=C2)C=N1)C(=O)N(C)CC1=CC=CC=C1
85146814,16.0585,11.24658,CCN(CC)C(=O)c1ncn(Cc2ccccc2)c1C(=O)N(CC)CC,CCN(CC)C(=O)C1=C(N(CC2=CC=CC=C2)C=N1)C(=O)N(CC)CC
85146812,16.4912,23.77028,COc1cc(OC)cc(c1)-c1c(-c2ccsc2)c2cc(Br)ccc2n1C,COC1=CC(=CC(OC)=C1)C1=C(C2=CSC=C2)C2=C(C=CC(Br)=C2)N1C
85146810,9.15709999999999,-1.26402,COc1ccc(cc1)-c1c(-c2cc(OC)cc(OC)c2)n(C)c2ccc(cc12)-c1ccc(nc1)N(C)C,COC1=CC=C(C=C1)C1=C(N(C)C2=C1C=C(C=C2)C1=CN=C(C=C1)N(C)C)C1=CC(OC)=CC(OC)=C1
85146808,16.9702,14.79128,COc1ccc(cc1)-c1c(-c2cc(OC)cc(OC)c2)n(C)c2ccc(cc12)-c1ccc(cc1)S(N)(=O)=O,COC1=CC=C(C=C1)C1=C(N(C)C2=C1C=C(C=C2)C1=CC=C(C=C1)S(N)(=O)=O)C1=CC(OC)=CC(OC)=C1
85146806,6.28739999999999,7.71738,COc1cc(OC)cc(c1)-c1c(-c2cccs2)c2cc(ccc2n1C)-c1ccn[nH]1,COC1=CC(=CC(OC)=C1)C1=C(C2=CC=CS2)C2=C(C=CC(=C2)C2=CC=NN2)N1C
85146804,16.0189,12.27348,COc1cc(OC)cc(c1)-c1c(-c2cccs2)c2cc(ccc2n1C)-c1ccc(OC)c(F)c1,COC1=CC(=CC(OC)=C1)C1=C(C2=CC=CS2)C2=C(C=CC(=C2)C2=CC(F)=C(OC)C=C2)N1C
85146803,6.44309999999999,-0.286919999999999,COc1ccc(cc1)-c1c(-c2cc(OC)cc(OC)c2)n(C)c2ccc(cc12)-c1ccn[nH]1,COC1=CC=C(C=C1)C1=C(N(C)C2=C1C=C(C=C2)C1=CC=NN1)C1=CC(OC)=CC(OC)=C1
85146801,18.7915,12.10388,Cn1c(-c2ccsc2)c(-c2cccs2)c2cc(ccc12)-c1ccc2cc[nH]c2c1,CN1C2=C(C=C(C=C2)C2=CC3=C(C=CN3)C=C2)C(C2=CC=CS2)=C1C1=CSC=C1
85146799,8.24249999999999,4.63288,Cn1c(-c2ccsc2)c(-c2cccs2)c2cc(ccc12)-c1ccc2[nH]ccc2c1,CN1C2=C(C=C(C=C2)C2=CC3=C(NC=C3)C=C2)C(C2=CC=CS2)=C1C1=CSC=C1
85146798,18.3627,14.64608,Cn1c(-c2ccsc2)c(-c2cccs2)c2cc(ccc12)-c1cccc2[nH]ccc12,CN1C2=C(C=C(C=C2)C2=C3C=CNC3=CC=C2)C(C2=CC=CS2)=C1C1=CSC=C1
85146797,9.24029999999999,10.24478,COc1cc(OC)cc(c1)-c1c(-c2cccs2)c2cc(ccc2n1C)-c1ccc(nc1)N(C)C,COC1=CC(=CC(OC)=C1)C1=C(C2=CC=CS2)C2=C(C=CC(=C2)C2=CN=C(C=C2)N(C)C)N1C
85146795,19.95328,16.53148,COc1ccc(cc1)-c1c(-c2cc(OC)cc(OC)c2)n(C)c2ccc(cc12)-c1cc(F)cc(OC)c1,COC1=CC=C(C=C1)C1=C(N(C)C2=C1C=C(C=C2)C1=CC(OC)=CC(F)=C1)C1=CC(OC)=CC(OC)=C1
85146794,11.6587,-5.11172,Cn1c(-c2ccsc2)c(-c2cccs2)c2cc(Br)ccc12,CN1C2=C(C=C(Br)C=C2)C(C2=CC=CS2)=C1C1=CSC=C1
85146793,20.93388,18.66948,COc1ccc(cc1)-c1c(-c2cc(OC)cc(OC)c2)n(C)c2ccc(cc12)-c1ccc(SC)cc1,COC1=CC=C(C=C1)C1=C(N(C)C2=C1C=C(C=C2)C1=CC=C(SC)C=C1)C1=CC(OC)=CC(OC)=C1
85146792,15.1247,12.32278,COc1ccc(cc1)-c1c(-c2cc(OC)cc(OC)c2)n(C)c2ccc(cc12)-c1ccc(OC)cc1F,COC1=CC=C(C=C1)C1=C(N(C)C2=C1C=C(C=C2)C1=C(F)C=C(OC)C=C1)C1=CC(OC)=CC(OC)=C1
85146790,16.9821,18.60048,COc1ccc(c(F)c1)-c1ccc2n(C)c(c(-c3cccs3)c2c1)-c1cc(OC)cc(OC)c1,COC1=CC(F)=C(C=C1)C1=CC2=C(C=C1)N(C)C(=C2C1=CC=CS1)C1=CC(OC)=CC(OC)=C1
85146788,10.1905,1.56608,COc1cc(OC)cc(c1)-c1c(-c2cccs2)c2cc(ccc2n1C)-c1cnc(OC)nc1,COC1=CC(=CC(OC)=C1)C1=C(C2=CC=CS2)C2=C(C=CC(=C2)C2=CN=C(OC)N=C2)N1C
85146787,17.3317,19.60538,COc1ccc(cc1)-c1ccc2n(C)c(c(-c3cccs3)c2c1)-c1cc(OC)cc(OC)c1,COC1=CC=C(C=C1)C1=CC2=C(C=C1)N(C)C(=C2C1=CC=CS1)C1=CC(OC)=CC(OC)=C1
85146786,12.4918,8.79398,COc1cc(F)cc(c1)-c1ccc2n(C)c(c(-c3cccs3)c2c1)-c1cc(OC)cc(OC)c1,COC1=CC(=CC(OC)=C1)C1=C(C2=CC=CS2)C2=C(C=CC(=C2)C2=CC(OC)=CC(F)=C2)N1C
85146785,6.34389999999999,4.23488,COc1cc(OC)cc(c1)-c1c(-c2cccs2)c2cc(ccc2n1C)-c1ccc(SC)cc1,COC1=CC(=CC(OC)=C1)C1=C(C2=CC=CS2)C2=C(C=CC(=C2)C2=CC=C(SC)C=C2)N1C
85146784,15.7662,14.63498,COc1cc(OC)cc(c1)-c1c(-c2cccs2)c2cc(ccc2n1C)-c1ccc(OC)c(OC)c1,COC1=CC(=CC(OC)=C1)C1=C(C2=CC=CS2)C2=C(C=CC(=C2)C2=CC(OC)=C(OC)C=C2)N1C
85146783,2.90219999999999,3.39738,COc1cc(OC)cc(c1)-c1c(-c2cccs2)c2cc(ccc2n1C)-c1ccc(OC)nc1,COC1=CC(=CC(OC)=C1)C1=C(C2=CC=CS2)C2=C(C=CC(=C2)C2=CN=C(OC)C=C2)N1C
85146781,21.5346,21.68188,COc1cc(OC)cc(c1)-c1c(-c2cccs2)c2cc(ccc2n1C)-c1ccc2cc[nH]c2c1,COC1=CC(=CC(OC)=C1)C1=C(C2=CC=CS2)C2=C(C=CC(=C2)C2=CC3=C(C=CN3)C=C2)N1C
85146780,20.75787,18.64868,COc1cc(OC)cc(c1)-c1c(-c2cccs2)c2cc(Br)ccc2n1C,COC1=CC(=CC(OC)=C1)C1=C(C2=CC=CS2)C2=C(C=CC(Br)=C2)N1C
85146779,20.7075,21.86318,COc1cc(OC)cc(c1)-c1c(-c2cccs2)c2cc(ccc2n1C)-c1ccc2OCCOc2c1,COC1=CC(=CC(OC)=C1)C1=C(C2=CC=CS2)C2=C(C=CC(=C2)C2=CC3=C(OCCO3)C=C2)N1C
85146778,15.2318,11.81058,COc1cc(OC)cc(c1)-c1c(-c2cccs2)c2cc(ccc2n1C)-c1ccc2[nH]ccc2c1,COC1=CC(=CC(OC)=C1)C1=C(C2=CC=CS2)C2=C(C=CC(=C2)C2=CC3=C(NC=C3)C=C2)N1C
85146777,17.274,8.00458,COc1cc(OC)cc(c1)-c1c(-c2cccs2)c2cc(ccc2n1C)-c1cccc2[nH]ccc12,COC1=CC(=CC(OC)=C1)C1=C(C2=CC=CS2)C2=C(C=CC(=C2)C2=C3C=CNC3=CC=C2)N1C
85146776,9.3892,9.56648,COc1cc(OC)cc(c1)-c1c(-c2ccc(F)cc2)c2cc(ccc2n1C)-c1ccc2[nH]ccc2c1,COC1=CC(=CC(OC)=C1)C1=C(C2=C(C=CC(=C2)C2=CC3=C(NC=C3)C=C2)N1C)C1=CC=C(F)C=C1
